date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:54	3682/3682	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Oct%202018%2005:26:17%20GMT	http://www.geocities.jp/robots.txt		(from )
23:32:55	1169/1169	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Aug%202005%2016:24:23%20GMT	http://www.geocities.jp/eisaburou_hp/	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/www.geocities.jp/eisaburou_hp/index.html	(from )
23:32:55	2061/2061	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202010%2005:30:22%20GMT	http://www.geocities.jp/eisaburou_hp/index-1.html	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/www.geocities.jp/eisaburou_hp/index-1.html	(from http://www.geocities.jp/eisaburou_hp/)
23:32:55	4271/4271	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202010%2005:30:26%20GMT	http://www.geocities.jp/eisaburou_hp/index-2.html	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/www.geocities.jp/eisaburou_hp/index-2.html	(from http://www.geocities.jp/eisaburou_hp/)
23:32:55	6804/6804	---M--	301	error ('Redirect')	text/html	date:Fri,%2015%20Mar%202019%2014:32:53%20GMT	http://bc-geocities.yahoo.co.jp/js/sq.css	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp/js/sq.2.delayed	(from http://www.geocities.jp/eisaburou_hp/)
23:32:56	863/863	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Oct%202018%2005:59:09%20GMT	https://bc-geocities.yahoo.co.jp:443/js/sq.css	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp_443/js/sq.css	(from http://www.geocities.jp/eisaburou_hp/)
23:32:57	6804/6804	---M--	301	error ('Redirect')	text/html	date:Fri,%2015%20Mar%202019%2014:32:54%20GMT	http://bc-geocities.yahoo.co.jp/js/sq.js	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp/js/sq.js	(from http://www.geocities.jp/eisaburou_hp/)
23:32:57	4433/4433	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Oct%202018%2005:59:09%20GMT	https://bc-geocities.yahoo.co.jp:443/js/sq.js	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp_443/js/sq.js	(from http://www.geocities.jp/eisaburou_hp/)
23:33:14	6804/6804	---M--	301	error ('Redirect')	text/html	date:Fri,%2015%20Mar%202019%2014:32:55%20GMT	http://bc-geocities.yahoo.co.jp/js/geov2.js	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp/js/geov2.js	(from http://www.geocities.jp/eisaburou_hp/)
23:33:16	4369/4369	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Oct%202018%2005:59:09%20GMT	https://bc-geocities.yahoo.co.jp:443/js/geov2.js	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/bc-geocities.yahoo.co.jp_443/js/geov2.js	(from http://www.geocities.jp/eisaburou_hp/)
23:33:17	2061/2061	---M--	200	added ('OK')	image/gif	date:Fri,%2030%20May%202008%2006:52:40%20GMT	http://www.geocities.jp/eisaburou_hp/h1-2.gif	C:/Users/kyong/Dropbox/kindness_project/ProjectKanakenSystem/src/website/kanaken/www.geocities.jp/eisaburou_hp/h1-2.gif	(from http://www.geocities.jp/eisaburou_hp/index-1.html)
